(1.0E-12,10.0,0.01)(53.325468559926065 40.0 3475.0 3474.9990000000003  )
(1.0E-12,10.0,0.01)(51.37512753169137 41.0 3475.0 3474.9990000000007  )
(1.0E-12,10.0,0.01)(51.00145992526881 44.0 3475.0 3475.0000000000005  )
(1.0E-12,10.0,0.01)(49.224166731471215 47.0 3475.0 3475.001  )
(1.0E-12,10.0,0.01)(49.224166731471215 48.0 3475.0 3474.9990000000003  )
(1.0E-12,10.0,0.01)(48.9686250260376 50.0 3475.0 3475.0  )
(1.0E-12,10.0,0.01)(46.33829123627881 52.0 3475.0 3474.999  )
(1.0E-12,10.0,0.01)(44.80941859338047 53.0 3475.0 3474.9990000000003  )
(1.0E-12,10.0,0.01)(46.33829123627881 54.0 3475.0 3475.0  )
(1.0E-12,10.0,0.01)(44.80941859338047 55.0 3475.0 3475.0  )
(1.0E-12,10.0,0.01)(46.141226448398854 56.0 3475.0 3475.0  )
(1.0E-12,10.0,0.01)(43.52061596173728 59.0 3475.0 3475.0  )
(1.0E-12,10.0,0.01)(41.86475020007305 60.0 3475.0 3474.999  )
(1.0E-12,10.0,0.01)(41.86475020007305 64.0 3475.0 3475.0  )
(1.0E-12 10.0 0.01)(40.79583985790509 67.03475.0 3474.999)
(1.0E-12,10.0,0.02)(75.55886452159102 1.0 4055.0 4055.0  )
(1.0E-12,10.0,0.02)(75.55886452159102 3.0 4055.0 4055.0  )
(1.0E-12,10.0,0.02)(75.55886452159102 5.0 4055.0 4055.0  )
(1.0E-12,10.0,0.02)(75.55886452159102 7.0 4055.0 4055.0  )
(1.0E-12,10.0,0.02)(75.55886452159102 8.0 4055.0 4054.9999999999995  )
(1.0E-12,10.0,0.02)(75.55886452159102 9.0 4055.0 4054.9989999999993  )
(1.0E-12,10.0,0.02)(75.55886452159102 10.0 4055.0 4054.9999999999995  )
(1.0E-12,10.0,0.02)(75.19649031244467 13.0 4055.0 4054.9989999999993  )
(1.0E-12,10.0,0.02)(75.19506251595767 14.0 4055.0 4054.9999999999995  )
(1.0E-12,10.0,0.02)(75.19649031244467 15.0 4055.0 4054.9999999999995  )
(1.0E-12,10.0,0.02)(75.19506251595767 16.0 4055.0 4054.999  )
(1.0E-12,10.0,0.02)(73.3838426537681 23.0 4055.0 4055.0000000000005  )
(1.0E-12,10.0,0.02)(67.53272670916624 24.0 4055.0 4054.999  )
(1.0E-12,10.0,0.02)(67.3716092145616 25.0 4055.0 4054.999  )
(1.0E-12,10.0,0.02)(67.53272670916624 26.0 4055.0 4054.999  )
(1.0E-12,10.0,0.02)(66.96686335121518 27.0 4055.0 4054.9989999999993  )
(1.0E-12,10.0,0.02)(66.80525178130122 28.0 4055.0 4055.0000000000005  )
(1.0E-12,10.0,0.02)(64.87606018663368 29.0 4055.0 4055.0  )
(1.0E-12,10.0,0.02)(62.54333090826702 30.0 4055.0 4054.998  )
(1.0E-12,10.0,0.02)(62.35150962530434 31.0 4055.0 4054.999  )
(1.0E-12,10.0,0.02)(60.40673345908617 32.0 4055.0 4054.9990000000003  )
(1.0E-12,10.0,0.02)(59.467688793926676 34.0 4055.0 4054.999  )
(1.0E-12,10.0,0.02)(58.93250768328347 35.0 4055.0 4054.999  )
(1.0E-12,10.0,0.02)(56.979831732083966 36.0 4055.0 4054.999  )
(1.0E-12,10.0,0.02)(56.979831732083966 37.0 4055.0 4054.9990000000003  )
(1.0E-12,10.0,0.02)(56.765918759638076 38.0 4055.0 4054.998  )
(1.0E-12,10.0,0.02)(56.765918759638076 39.0 4055.0 4055.0000000000005  )
(1.0E-12,10.0,0.02)(53.325468559926065 40.0 4055.0 4055.0  )
(1.0E-12,10.0,0.02)(51.37512753169137 41.0 4055.0 4055.0000000000005  )
(1.0E-12,10.0,0.02)(51.37512753169137 42.0 4055.0 4054.9990000000003  )
(1.0E-12,10.0,0.02)(51.13000221103248 43.0 4055.0 4055.0  )
(1.0E-12,10.0,0.02)(51.13000221103248 44.0 4055.0 4054.9990000000003  )
(1.0E-12,10.0,0.02)(48.611628359387225 46.0 4055.0 4055.0  )
(1.0E-12,10.0,0.02)(48.4366017516591 49.0 4055.0 4055.0  )
(1.0E-12,10.0,0.02)(46.922324396489294 50.0 4055.0 4055.001  )
(1.0E-12,10.0,0.02)(48.4366017516591 51.0 4055.0 4054.999  )
(1.0E-12,10.0,0.02)(46.33829123627881 52.0 4055.0 4055.0000000000005  )
(1.0E-12,10.0,0.02)(44.80941859338047 53.0 4055.0 4055.0  )
(1.0E-12,10.0,0.02)(46.33829123627881 54.0 4055.0 4055.0000000000005  )
(1.0E-12,10.0,0.02)(44.80941859338047 55.0 4055.0 4055.0  )
(1.0E-12,10.0,0.02)(46.33829123627881 56.0 4055.0 4054.9999999999995  )
(1.0E-12,10.0,0.02)(43.52061596173728 59.0 4055.0 4055.0  )
(1.0E-12,10.0,0.02)(41.86475020007305 60.0 4055.0 4055.0  )
(1.0E-12,10.0,0.02)(41.86475020007305 63.0 4055.0 4055.0010000000007  )
(1.0E-12,10.0,0.02)(40.89496608624254 63.0 4055.0 4055.0  )
(1.0E-12,10.0,0.02)(40.37706686040323 65.0 4055.0 4055.0009999999997  )
(1.0E-12,10.0,0.02)(39.98762747608855 66.0 4055.0 4054.9990000000003  )
(1.0E-12,10.0,0.02)(39.421572175580145 66.0 4055.0 4055.002  )
(1.0E-12,10.0,0.02)(39.421572175580145 68.0 4055.0 4055.000000000001  )
(1.0E-12,10.0,0.02)(39.17361016457301 73.0 4055.0 4054.9990000000003  )
(1.0E-12,10.0,0.02)(38.65791143600049 75.0 4055.0 4055.0000000000005  )
